ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Southwest - 1990,7402178,Children wasted,7.2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WH2,104236050,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWH2,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,5198199,Children overweight,3,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHP,104236060,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWHP,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,5236188,Children overweight,4.2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHP,104236060,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWHP,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1380347,Children overweight,1.4,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHP,104236060,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWHP,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,7402179,Children overweight,2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHP,104236060,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWHP,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,5198200,Mean weight for height of children,-0.5,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHM,104236070,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWHM,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,5236189,Mean weight for height of children,-0.5,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHM,104236070,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWHM,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1380353,Mean weight for height of children,-0.3,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHM,104236070,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWHM,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,7402180,Mean weight for height of children,-0.3,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WHM,104236070,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWHM,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,7211802,Children severely underweight,18.3,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA3,104236080,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWA3,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,3283702,Children severely underweight,14.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA3,104236080,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWA3,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1380354,Children severely underweight,9,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA3,104236080,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWA3,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,6992806,Children severely underweight,6.7,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA3,104236080,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWA3,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,7211801,Children underweight,40.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA2,104236090,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWA2,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,3283701,Children underweight,40.8,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA2,104236090,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWA2,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1380352,Children underweight,25.3,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA2,104236090,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWA2,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,6992808,Children underweight,22.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WA2,104236090,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWA2,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,7211803,Children overweight for their age,1.2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAP,104236100,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWAP,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,3283703,Children overweight for their age,0.8,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAP,104236100,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWAP,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1405846,Children overweight for their age,0.5,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAP,104236100,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWAP,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,6992807,Children overweight for their age,0.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAP,104236100,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWAP,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,7211800,Mean weight for age of children,-1.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAM,104236110,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCWAM,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,3283700,Mean weight for age of children,-1.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAM,104236110,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCWAM,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,1405845,Mean weight for age of children,-1.2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAM,104236110,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCWAM,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,6992805,Mean weight for age of children,-1.1,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_WAM,104236110,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCWAM,NGDHS1990433004,1990,DHS,1131,1546,,,1
