ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Southeast - 1990,4445286,Demand for family planning satisfied by modern methods,11.2,1,NG,Nigeria,1990,NG1990DHS,FP_NADM_W_PDM,32933150,I,433003,1433003,Region,Southeast - 1990,0,,0,1,FPNADMWPDM,NGDHS1990433003,1990,DHS,625,530,,,1
NGA,Southwest - 1990,5990241,Demand for family planning satisfied by modern methods,29,1,NG,Nigeria,1990,NG1990DHS,FP_NADM_W_PDM,32933150,I,433004,1433004,Region,Southwest - 1990,0,,0,1,FPNADMWPDM,NGDHS1990433004,1990,DHS,465,709,,,1
NGA,Northeast - 1990,1519774,Median age at first marriage [Women]: 25-49,15.2,1,NG,Nigeria,1990,NG1990DHS,MA_AAFM_W_M2B,41633090,I,433001,1433001,Region,Northeast - 1990,0,,0,1,MAAAFMWM2B,NGDHS1990433001,1990,DHS,,,,,1
NGA,Northwest - 1990,1526450,Median age at first marriage [Women]: 25-49,15.4,1,NG,Nigeria,1990,NG1990DHS,MA_AAFM_W_M2B,41633090,I,433002,1433002,Region,Northwest - 1990,0,,0,1,MAAAFMWM2B,NGDHS1990433002,1990,DHS,,,,,1
NGA,Southeast - 1990,1511151,Median age at first marriage [Women]: 25-49,18.3,1,NG,Nigeria,1990,NG1990DHS,MA_AAFM_W_M2B,41633090,I,433003,1433003,Region,Southeast - 1990,0,,0,1,MAAAFMWM2B,NGDHS1990433003,1990,DHS,,,,,1
NGA,Southwest - 1990,1511156,Median age at first marriage [Women]: 25-49,19.7,1,NG,Nigeria,1990,NG1990DHS,MA_AAFM_W_M2B,41633090,I,433004,1433004,Region,Southwest - 1990,0,,0,1,MAAAFMWM2B,NGDHS1990433004,1990,DHS,,,,,1
NGA,Northeast - 1990,1519834,Median age at first sexual intercourse [Women]: 25-49,15.3,1,NG,Nigeria,1990,NG1990DHS,SX_AAFS_W_M2B,51703090,I,433001,1433001,Region,Northeast - 1990,0,,0,1,SXAAFSWM2B,NGDHS1990433001,1990,DHS,,,,,1
NGA,Northwest - 1990,1526506,Median age at first sexual intercourse [Women]: 25-49,15.3,1,NG,Nigeria,1990,NG1990DHS,SX_AAFS_W_M2B,51703090,I,433002,1433002,Region,Northwest - 1990,0,,0,1,SXAAFSWM2B,NGDHS1990433002,1990,DHS,,,,,1
NGA,Southeast - 1990,1511177,Median age at first sexual intercourse [Women]: 25-49,18.3,1,NG,Nigeria,1990,NG1990DHS,SX_AAFS_W_M2B,51703090,I,433003,1433003,Region,Southeast - 1990,0,,0,1,SXAAFSWM2B,NGDHS1990433003,1990,DHS,,,,,1
NGA,Southwest - 1990,1511206,Median age at first sexual intercourse [Women]: 25-49,19.1,1,NG,Nigeria,1990,NG1990DHS,SX_AAFS_W_M2B,51703090,I,433004,1433004,Region,Southwest - 1990,0,,0,1,SXAAFSWM2B,NGDHS1990433004,1990,DHS,,,,,1
NGA,Northeast - 1990,7651280,Infant mortality rate,88,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,433001,1433001,Region,Northeast - 1990,14003,Ten years preceding the survey,0,1,CMECMRCIMR,NGDHS1990433001,1990,DHS,,,70,106,1
NGA,Northwest - 1990,1837876,Infant mortality rate,110,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,433002,1433002,Region,Northwest - 1990,14003,Ten years preceding the survey,0,1,CMECMRCIMR,NGDHS1990433002,1990,DHS,,,92,128,1
